a,b,c,d,e,f,g,h,I,j
0.653974293627101,0.429466653997123,0.689514570825045,0.235978924092763,0.19752271885253,0.0522852376764388,0.611152625463035,0.00890964822016919,0.965112390782885,0.0786144384140128
0.0679094731423652,0.313406168312321,0.24239266385546,0.555380394637074,0.439867598479981,0.188969196913024,0.928818486973818,0.917150196214288,0.914339865501237,0.110825449838195
0.223637082143645,0.301637244612203,0.779922733588487,0.544758613455622,0.392211356574762,0.154682475464597,0.875050318874281,0.192173941185881,0.207765088804419,0.874965288467334
0.250805172612637,0.266427548604624,0.564377696707653,0.129058104441248,0.552818350699475,0.811582385408129,0.966711694590898,0.128530979482438,0.539216612822814,0.145515518846059
0.671293548218839,0.540020778151886,0.244095307797285,0.357177225834162,0.650783070952936,0.731614989132225,0.09151971171599,0.49769355894112,0.783242461066479,0.433310521230756
0.855234168752672,0.764406282749963,0.232150233940872,0.0352459758490494,0.583481149505934,0.125044255798153,0.724347145673592,0.704217364453939,0.60961934517714,0.500368957977437
0.533918048257729,0.423528371123056,0.124660457870334,0.700909243134506,0.0928624588341526,0.645489916900325,0.601407909518024,0.670408026506479,0.509850656901057,0.635283958986805
0.931213071776962,0.592784702681501,0.865315360306676,0.531040245917934,0.81991300687229,0.768218546391627,0.200681316081357,0.837368842553441,0.234746166297785,0.67550551345879
0.151480116028683,0.103881330478656,0.665536246969627,0.510242509901915,0.489515508988228,0.508823562159329,0.814794750763421,0.445119465430378,0.136283398325487,0.837390247998419
0.688534467621787,0.724257231269893,0.0827573360445507,0.971785185556285,0.706121015784947,0.712253785262598,0.977673896641791,0.980352966146084,0.440111687120699,0.88567811436737
0.86977203161856,0.451772379909371,0.686083724006263,0.666704190471913,0.537720360482481,0.742603957945591,0.901038141560283,0.681183336517075,0.398145306720958,0.355064532909224
0.603986051020277,0.672095876122301,0.584180016392581,0.735064990582655,0.830613341671081,0.915123061273574,0.929232048773766,0.778746668045039,0.745726686181776,0.964150133825482
0.979797467358915,0.772990931826931,0.145173620532845,0.285299430755314,0.724841647204804,0.983927579712573,0.690644261770462,0.595146938177027,0.570802415298788,0.947705614002997
0.844127227794682,0.667397675341264,0.832452090516366,0.562153225301417,0.131370702321165,0.730959821796799,0.427048079778502,0.617056511378451,0.0503897644921508,0.169010677627752
0.000526138587207572,0.4344072455191,0.383934729533221,0.0549587885032123,0.276396641279626,0.538406312133521,0.0158643642360965,0.856453906190824,0.800668969087891,0.965367571381117
0.167631859851601,0.201236333945889,0.344850828792177,0.158691895638126,0.449931311619642,0.2328103634036,0.888234044595257,0.110794197166784,0.165247064085112,0.532993087702037
0.00768025125897249,0.412449509065307,0.176082789828792,0.742942225574026,0.00862059930214829,0.593003762514249,0.521501757066905,0.377811795779247,0.0701509710311725,0.426914878857448
0.566055233212383,0.7710589008456,0.517481453888361,0.736003361055365,0.809866328020137,0.109181647925442,0.976813377009437,0.919762734758406,0.46515337411958,0.813506442557428
0.00498064892146647,0.154583880678769,0.644747887909556,0.415917592224851,0.955541527680678,0.180599398817438,0.395266003365831,0.893675111243643,0.48845768044042,0.400677064651524
0.681864210394783,0.516825812095885,0.660629845423497,0.775673755885794,0.622594193070366,0.486401201822173,0.471133215250453,0.0191218829536357,0.648989528490098,0.559781171530811
0.484278640718843,0.716280637791445,0.369058585877595,0.0308684490109771,0.693425054819934,0.402336936076599,0.718815459330304,0.438756316211432,0.589786922358541,0.234068196266482
0.157437752375524,0.367583466009348,0.0945699430176491,0.389776893594057,0.511536464652639,0.786140855877864,0.663148424982126,0.970943730734801,0.66286426638779,0.846905431723193
0.645826626105089,0.525669600975299,0.270181553812338,0.935733688239968,0.0785675316982978,0.681534400556069,0.216327048052015,0.677687117092975,0.722503274752114,0.395252582109263
0.291412348282228,0.187536721356354,0.398023461158331,0.55708127987798,0.993968940824672,0.677839476373926,0.343402333474728,0.919155764377082,0.596821316357326,0.0412997653283
0.0686149899709066,0.282915755462521,0.231181013127995,0.503164840701591,0.0243796304457295,0.100999687529059,0.550815590935348,0.137489055566728,0.995268200433422,0.0854072114703275
0.962009365782633,0.518367919526617,0.285341854754318,0.141689228118587,0.275555729896507,0.0377424051916519,0.706174746349726,0.78565301938669,0.346759260506304,0.917006399894727
0.0712131442034601,0.388475893545229,0.391904809328686,0.828474560671581,0.130829713839361,0.401847650799088,0.822941182775086,0.0856077468918252,0.173680541110269,0.994942434453313
0.673947305227879,0.743381690804984,0.237888814362184,0.08865159012229,0.754998981404604,0.86993600355435,0.251790393136902,0.547837708420139,0.509875857490634,0.614411699630775
0.597513276210391,0.505387142788582,0.464707203159607,0.0803385426737338,0.04756028283774,0.823951930555963,0.200164763374716,0.469100247216216,0.624846559108972,0.0943281297152841
0.468350850692728,0.269748008731868,0.702751624114597,0.63466976557514,0.341400539291547,0.999959991460267,0.45012716228698,0.352999458502155,0.713469823278336,0.375293447239282
